,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
港区,新橋６丁目,虎ノ門広域,港区新橋六丁目１１番１３号,35.6616,139.754606,にじいろ保育園新橋,認可,36,令和5年10月1日時点,,,
港区,新橋６丁目,虎ノ門広域,港区新橋六丁目４番３号　ル・グラシエルビル７号館２階,35.662278,139.75404,こころ新橋保育園,認可,48,令和5年10月1日時点,,,
港区,芝公園２丁目,-,港区芝公園二丁目７番３号,35.654204,139.750654,芝公園保育園,認可,150,令和5年10月1日時点,,,
港区,浜松町１丁目,-,港区浜松町一丁目１番１１号,35.659988,139.755407,汐留サーノ保育園,認可,80,令和5年10月1日時点,,,
港区,浜松町１丁目,-,港区浜松町一丁目３番１号,35.659878,139.756993,小鳩ナーサリースクール浜離宮,認可,41,令和5年10月1日時点,,,
港区,浜松町１丁目,-,港区浜松町一丁目６番７号 プラザ神明１～３階,35.658702,139.757622,神明保育園,認可,161,令和5年10月1日時点,,,
港区,芝４丁目,-,港区芝二丁目１２番１６号,35.64964,139.749875,アスク芝公園保育園,認可,51,令和5年10月1日時点,,,
港区,芝２丁目,-,港区芝二丁目１番２７号　穴水ビル２階,35.653349,139.751196,ニチイキッズ芝公園保育園,認可,45,令和5年10月1日時点,,,
港区,海岸１丁目,-,港区海岸１－１３－１５,35.654328,139.761678,にじいろ保育園竹芝,認可,32,令和5年10月1日時点,,,
港区,芝浦１丁目,-,港区芝浦一丁目２番２号　シーバンスアモール３階,35.649863,139.756388,太陽の子シーバンス保育園,認可,100,令和5年10月1日時点,,,
港区,芝浦１丁目,-,港区芝浦一丁目６番４１号　グローバルフロントタワー１階,35.647544,139.755174,アンジェリカ田町保育園,認可,60,令和5年10月1日時点,,,
港区,芝浦１丁目,-,港区芝浦一丁目９番７号　芝浦おもだかビル２階、３階,35.648128,139.753489,太陽の子芝浦一丁目保育園,認可,66,令和5年10月1日時点,,,
港区,西麻布２丁目,-,港区西麻布二丁目１３番３号,35.660892,139.72279,西麻布保育園,認可,125,令和5年10月1日時点,,,
港区,西麻布２丁目,-,港区西麻布二丁目２番２号　ＮＫホームズ１階Ｂ,35.66122,139.720629,コスモス西麻布保育園,認可,50,令和5年10月1日時点,,,
港区,六本木４丁目,六本木,港区六本木４－５－１１,35.664766,139.732451,ｓａｋｕｒａ保育園六本木,認可,52,令和5年10月1日時点,,,
港区,六本木５丁目,六本木,港区六本木６－５－２７,35.661859,139.734547,リトルパルズ保育園六本木,認可,50,令和5年10月1日時点,,,
港区,六本木１丁目,虎ノ門,港区六本木一丁目９番１０号　アークヒルズ仙石山森タワー,35.663662,139.741763,まちの保育園六本木,認可,70,令和5年10月1日時点,,,
港区,六本木５丁目,六本木,港区六本木五丁目１６番４６号,35.661228,139.735143,麻布保育園,認可,144,令和5年10月1日時点,,,
港区,東麻布１丁目,-,港区東麻布一丁目２１番２号,35.655633,139.742231,飯倉保育園,認可,131,令和5年10月1日時点,,,
港区,東麻布１丁目,-,港区東麻布一丁目５番６号,35.655633,139.742231,ふたばクラブ東麻布保育園,認可,59,令和5年10月1日時点,,,
港区,東麻布２丁目,-,港区東麻布二丁目１番１号,35.656068,139.741572,東麻布保育園,認可,160,令和5年10月1日時点,,,
港区,東麻布２丁目,-,港区東麻布二丁目３２番７号 ＲＯＪＵ　ＨＩＧＡＳＨＩＡＺＡＢＵ２階,35.655985,139.740514,ＡＩＡＩ　ＮＵＲＳＥＲＹ麻布十番,認可,50,令和5年10月1日時点,,,
港区,麻布十番１丁目,-,港区麻布十番一丁目３番２号,35.656991,139.735836,麻布十番ちとせ保育園,認可,60,令和5年10月1日時点,,,
港区,元麻布３丁目,-,港区元麻布三丁目２番１９号　ＭＯＭＯＮ六本木ビル１階,35.657418,139.727323,アイグラン保育園元麻布,認可,60,令和5年10月1日時点,,,
港区,元麻布２丁目,-,港区元麻布二丁目１４番１２号,35.652968,139.73038,元麻布保育園,認可,168,令和5年10月1日時点,,,
